relabeling,rescoring,suppression,model,house,quantity,boxes,iou_threshold_matching,confidence_threshold_tasknet,iou_threshold_tasknet,confidence_threshold_filternet,iou_threshold_filternet,label,total_positives,TP,FP,TPm,FPm,FPiou
0,0,1,filternet,floor1,0.75,100,0.5,0.75,0.5,0.38,0.5,1,111,41,5,0,0,17
0,1,0,filternet,floor1,0.75,100,0.5,0.75,0.5,0.38,0.5,0,124,77,31,1,5,42
0,1,0,filternet,floor1,0.75,100,0.5,0.75,0.5,0.38,0.5,1,111,45,5,9,0,35
0,1,1,filternet,floor1,0.75,100,0.5,0.75,0.5,0.38,0.5,0,124,75,31,1,5,38
0,1,1,filternet,floor1,0.75,100,0.5,0.75,0.5,0.38,0.5,1,111,45,5,9,0,31
1,0,0,filternet,floor1,0.75,100,0.5,0.75,0.5,0.38,0.5,0,124,66,3,0,0,2
1,0,0,filternet,floor1,0.75,100,0.5,0.75,0.5,0.38,0.5,1,111,59,5,1,0,11
1,0,1,filternet,floor1,0.75,100,0.5,0.75,0.5,0.38,0.5,0,124,64,3,0,0,2
1,0,1,filternet,floor1,0.75,100,0.5,0.75,0.5,0.38,0.5,1,111,59,5,1,0,11
1,1,0,filternet,floor1,0.75,100,0.5,0.75,0.5,0.38,0.5,0,124,72,4,1,0,15
1,1,0,filternet,floor1,0.75,100,0.5,0.75,0.5,0.38,0.5,1,111,69,6,11,0,29
1,1,1,filternet,floor1,0.75,100,0.5,0.75,0.5,0.38,0.5,0,124,70,4,1,0,14
1,1,1,filternet,floor1,0.75,100,0.5,0.75,0.5,0.38,0.5,1,111,69,6,11,0,28
0,0,0,tasknet,floor4,0.25,10,0.5,0.75,0.5,0.38,0.5,0,138,18,6,0,0,19
0,0,0,tasknet,floor4,0.25,10,0.5,0.75,0.5,0.38,0.5,1,131,57,2,0,0,20
0,0,0,filternet,floor4,0.25,10,0.5,0.75,0.5,0.38,0.5,0,138,20,6,0,0,24
0,0,0,filternet,floor4,0.25,10,0.5,0.75,0.5,0.38,0.5,1,131,59,2,0,0,27
0,0,1,filternet,floor4,0.25,10,0.5,0.75,0.5,0.38,0.5,0,138,18,5,0,0,14
0,0,1,filternet,floor4,0.25,10,0.5,0.75,0.5,0.38,0.5,1,131,57,2,0,0,7
0,1,0,filternet,floor4,0.25,10,0.5,0.75,0.5,0.38,0.5,0,138,19,7,0,0,11
0,1,0,filternet,floor4,0.25,10,0.5,0.75,0.5,0.38,0.5,1,131,57,3,0,0,8
0,1,1,filternet,floor4,0.25,10,0.5,0.75,0.5,0.38,0.5,0,138,19,7,0,0,11
0,1,1,filternet,floor4,0.25,10,0.5,0.75,0.5,0.38,0.5,1,131,57,3,0,0,8
1,0,0,filternet,floor4,0.25,10,0.5,0.75,0.5,0.38,0.5,0,138,13,4,0,0,6
1,0,0,filternet,floor4,0.25,10,0.5,0.75,0.5,0.38,0.5,1,131,54,6,0,0,7
1,0,1,filternet,floor4,0.25,10,0.5,0.75,0.5,0.38,0.5,0,138,13,4,0,0,6
1,0,1,filternet,floor4,0.25,10,0.5,0.75,0.5,0.38,0.5,1,131,54,6,0,0,7
1,1,0,filternet,floor4,0.25,10,0.5,0.75,0.5,0.38,0.5,0,138,14,5,0,0,8
1,1,0,filternet,floor4,0.25,10,0.5,0.75,0.5,0.38,0.5,1,131,56,6,0,0,8
1,1,1,filternet,floor4,0.25,10,0.5,0.75,0.5,0.38,0.5,0,138,14,5,0,0,8
1,1,1,filternet,floor4,0.25,10,0.5,0.75,0.5,0.38,0.5,1,131,56,6,0,0,8
0,0,0,tasknet,floor4,0.25,30,0.5,0.75,0.5,0.38,0.5,0,138,22,9,0,0,23
0,0,0,tasknet,floor4,0.25,30,0.5,0.75,0.5,0.38,0.5,1,131,68,5,0,0,26
0,0,0,filternet,floor4,0.25,30,0.5,0.75,0.5,0.38,0.5,0,138,30,11,0,0,33
0,0,0,filternet,floor4,0.25,30,0.5,0.75,0.5,0.38,0.5,1,131,76,5,4,0,41
