relabeling,rescoring,suppression,model,house,quantity,boxes,iou_threshold_matching,confidence_threshold_tasknet,iou_threshold_tasknet,confidence_threshold_filternet,iou_threshold_filternet,label,AP,total_positives,TP,FP
0,1,1,filternet,floor1,0.5,100,0.5,0.75,0.5,0.38,0.5,0,0.4685648138403051,124,76,80
0,1,1,filternet,floor1,0.5,100,0.5,0.75,0.5,0.38,0.5,1,0.33763813250675595,111,51,43
1,0,0,filternet,floor1,0.5,100,0.5,0.75,0.5,0.38,0.5,0,0.4983130785099779,124,63,6
1,0,0,filternet,floor1,0.5,100,0.5,0.75,0.5,0.38,0.5,1,0.4394366740467,111,64,27
1,0,1,filternet,floor1,0.5,100,0.5,0.75,0.5,0.38,0.5,0,0.49183986886486697,124,62,5
1,0,1,filternet,floor1,0.5,100,0.5,0.75,0.5,0.38,0.5,1,0.4394366740467,111,64,27
1,1,0,filternet,floor1,0.5,100,0.5,0.75,0.5,0.38,0.5,0,0.496363634181186,124,70,24
1,1,0,filternet,floor1,0.5,100,0.5,0.75,0.5,0.38,0.5,1,0.4681298180201716,111,72,64
1,1,1,filternet,floor1,0.5,100,0.5,0.75,0.5,0.38,0.5,0,0.49524400729401735,124,69,22
1,1,1,filternet,floor1,0.5,100,0.5,0.75,0.5,0.38,0.5,1,0.4750453378419529,111,72,63
0,0,0,tasknet,floor1,0.75,10,0.5,0.75,0.5,0.38,0.5,0,0.38814021890649086,124,54,19
0,0,0,tasknet,floor1,0.75,10,0.5,0.75,0.5,0.38,0.5,1,0.15714220298026313,111,24,19
0,0,0,filternet,floor1,0.75,10,0.5,0.75,0.5,0.38,0.5,0,0.40573800155123146,124,57,24
0,0,0,filternet,floor1,0.75,10,0.5,0.75,0.5,0.38,0.5,1,0.16183439517245532,111,25,23
0,0,1,filternet,floor1,0.75,10,0.5,0.75,0.5,0.38,0.5,0,0.4063335429248235,124,57,21
0,0,1,filternet,floor1,0.75,10,0.5,0.75,0.5,0.38,0.5,1,0.1784440802803138,111,25,17
0,1,0,filternet,floor1,0.75,10,0.5,0.75,0.5,0.38,0.5,0,0.4284176958173619,124,61,21
0,1,0,filternet,floor1,0.75,10,0.5,0.75,0.5,0.38,0.5,1,0.1944588896269845,111,27,14
0,1,1,filternet,floor1,0.75,10,0.5,0.75,0.5,0.38,0.5,0,0.4284176958173619,124,61,21
0,1,1,filternet,floor1,0.75,10,0.5,0.75,0.5,0.38,0.5,1,0.1944588896269845,111,27,14
1,0,0,filternet,floor1,0.75,10,0.5,0.75,0.5,0.38,0.5,0,0.42913687557521,124,54,6
1,0,0,filternet,floor1,0.75,10,0.5,0.75,0.5,0.38,0.5,1,0.26368963657139693,111,36,19
1,0,1,filternet,floor1,0.75,10,0.5,0.75,0.5,0.38,0.5,0,0.42913687557521,124,54,6
1,0,1,filternet,floor1,0.75,10,0.5,0.75,0.5,0.38,0.5,1,0.25756824711667414,111,35,19
1,1,0,filternet,floor1,0.75,10,0.5,0.75,0.5,0.38,0.5,0,0.4294443233625404,124,56,6
1,1,0,filternet,floor1,0.75,10,0.5,0.75,0.5,0.38,0.5,1,0.24150879465457478,111,36,21
1,1,1,filternet,floor1,0.75,10,0.5,0.75,0.5,0.38,0.5,0,0.4294443233625404,124,56,6
1,1,1,filternet,floor1,0.75,10,0.5,0.75,0.5,0.38,0.5,1,0.24150879465457478,111,36,21
0,0,0,tasknet,floor1,0.75,30,0.5,0.75,0.5,0.38,0.5,0,0.436281643624923,124,62,28
0,0,0,tasknet,floor1,0.75,30,0.5,0.75,0.5,0.38,0.5,1,0.23020809119493874,111,36,27
0,0,0,filternet,floor1,0.75,30,0.5,0.75,0.5,0.38,0.5,0,0.4630097250760258,124,67,38
0,0,0,filternet,floor1,0.75,30,0.5,0.75,0.5,0.38,0.5,1,0.2440437292864783,111,39,40
0,0,1,filternet,floor1,0.75,30,0.5,0.75,0.5,0.38,0.5,0,0.45829517856828755,124,66,33
0,0,1,filternet,floor1,0.75,30,0.5,0.75,0.5,0.38,0.5,1,0.2751656347240425,111,39,22
0,1,0,filternet,floor1,0.75,30,0.5,0.75,0.5,0.38,0.5,0,0.4594029781311996,124,70,41
0,1,0,filternet,floor1,0.75,30,0.5,0.75,0.5,0.38,0.5,1,0.3079067608822849,111,41,20
0,1,1,filternet,floor1,0.75,30,0.5,0.75,0.5,0.38,0.5,0,0.4594029781311996,124,70,40
0,1,1,filternet,floor1,0.75,30,0.5,0.75,0.5,0.38,0.5,1,0.3079067608822849,111,41,20
1,0,0,filternet,floor1,0.75,30,0.5,0.75,0.5,0.38,0.5,0,0.4977958924053999,124,63,7
1,0,0,filternet,floor1,0.75,30,0.5,0.75,0.5,0.38,0.5,1,0.42700311816540343,111,54,15
1,0,1,filternet,floor1,0.75,30,0.5,0.75,0.5,0.38,0.5,0,0.4977958924053999,124,63,7
1,0,1,filternet,floor1,0.75,30,0.5,0.75,0.5,0.38,0.5,1,0.42700311816540343,111,54,15
1,1,0,filternet,floor1,0.75,30,0.5,0.75,0.5,0.38,0.5,0,0.4997157200107535,124,67,10
1,1,0,filternet,floor1,0.75,30,0.5,0.75,0.5,0.38,0.5,1,0.4805906303646343,111,60,18
1,1,1,filternet,floor1,0.75,30,0.5,0.75,0.5,0.38,0.5,0,0.4997157200107535,124,67,10
1,1,1,filternet,floor1,0.75,30,0.5,0.75,0.5,0.38,0.5,1,0.4805906303646343,111,60,18
0,0,0,tasknet,floor1,0.75,50,0.5,0.75,0.5,0.38,0.5,0,0.441484642461046,124,63,29
0,0,0,tasknet,floor1,0.75,50,0.5,0.75,0.5,0.38,0.5,1,0.24295042297597094,111,38,28
0,0,0,filternet,floor1,0.75,50,0.5,0.75,0.5,0.38,0.5,0,0.47239951953719783,124,69,46
0,0,0,filternet,floor1,0.75,50,0.5,0.75,0.5,0.38,0.5,1,0.26543964786022833,111,43,46
0,0,1,filternet,floor1,0.75,50,0.5,0.75,0.5,0.38,0.5,0,0.4561686939811674,124,66,38
0,0,1,filternet,floor1,0.75,50,0.5,0.75,0.5,0.38,0.5,1,0.30363317612559737,111,43,24
0,1,0,filternet,floor1,0.75,50,0.5,0.75,0.5,0.38,0.5,0,0.46646574357679593,124,73,51
0,1,0,filternet,floor1,0.75,50,0.5,0.75,0.5,0.38,0.5,1,0.2793199590061394,111,45,42
0,1,1,filternet,floor1,0.75,50,0.5,0.75,0.5,0.38,0.5,0,0.4718546106912964,124,73,47
0,1,1,filternet,floor1,0.75,50,0.5,0.75,0.5,0.38,0.5,1,0.3040297207066254,111,45,37
1,0,0,filternet,floor1,0.75,50,0.5,0.75,0.5,0.38,0.5,0,0.4693912687147851,124,59,7
1,0,0,filternet,floor1,0.75,50,0.5,0.75,0.5,0.38,0.5,1,0.4841416999427299,111,61,25
1,0,1,filternet,floor1,0.75,50,0.5,0.75,0.5,0.38,0.5,0,0.46201184498449405,124,58,6
1,0,1,filternet,floor1,0.75,50,0.5,0.75,0.5,0.38,0.5,1,0.48331104642047784,111,61,26
1,1,0,filternet,floor1,0.75,50,0.5,0.75,0.5,0.38,0.5,0,0.4581573813794179,124,62,14
1,1,0,filternet,floor1,0.75,50,0.5,0.75,0.5,0.38,0.5,1,0.43982379220660556,111,67,38
1,1,1,filternet,floor1,0.75,50,0.5,0.75,0.5,0.38,0.5,0,0.45695816415630286,124,61,13
1,1,1,filternet,floor1,0.75,50,0.5,0.75,0.5,0.38,0.5,1,0.4447937191338514,111,67,37
0,0,0,tasknet,floor1,0.75,100,0.5,0.75,0.5,0.38,0.5,0,0.441484642461046,124,63,29
0,0,0,tasknet,floor1,0.75,100,0.5,0.75,0.5,0.38,0.5,1,0.24253993506548308,111,38,29
0,0,0,filternet,floor1,0.75,100,0.5,0.75,0.5,0.38,0.5,0,0.47239951953719783,124,69,46
0,0,0,filternet,floor1,0.75,100,0.5,0.75,0.5,0.38,0.5,1,0.2647617749343817,111,43,47
0,0,1,filternet,floor1,0.75,100,0.5,0.75,0.5,0.38,0.5,0,0.45504869497754546,124,66,35
0,0,1,filternet,floor1,0.75,100,0.5,0.75,0.5,0.38,0.5,1,0.30682333147051244,111,42,21
0,1,0,filternet,floor1,0.75,100,0.5,0.75,0.5,0.38,0.5,0,0.49098380242469886,124,77,79
0,1,0,filternet,floor1,0.75,100,0.5,0.75,0.5,0.38,0.5,1,0.36208834492629566,111,48,46
0,1,1,filternet,floor1,0.75,100,0.5,0.75,0.5,0.38,0.5,0,0.4771972964989963,124,75,75
0,1,1,filternet,floor1,0.75,100,0.5,0.75,0.5,0.38,0.5,1,0.36709477086443754,111,48,42
1,0,0,filternet,floor1,0.75,100,0.5,0.75,0.5,0.38,0.5,0,0.5219082329122372,124,66,5
1,0,0,filternet,floor1,0.75,100,0.5,0.75,0.5,0.38,0.5,1,0.44369410253383745,111,60,16
1,0,1,filternet,floor1,0.75,100,0.5,0.75,0.5,0.38,0.5,0,0.5062737673575144,124,64,5
1,0,1,filternet,floor1,0.75,100,0.5,0.75,0.5,0.38,0.5,1,0.44369410253383745,111,60,16
1,1,0,filternet,floor1,0.75,100,0.5,0.75,0.5,0.38,0.5,0,0.5293159213818057,124,72,20
1,1,0,filternet,floor1,0.75,100,0.5,0.75,0.5,0.38,0.5,1,0.5317020927881351,111,70,45
1,1,1,filternet,floor1,0.75,100,0.5,0.75,0.5,0.38,0.5,0,0.5142996390183416,124,70,19
1,1,1,filternet,floor1,0.75,100,0.5,0.75,0.5,0.38,0.5,1,0.5367444348578979,111,70,44
0,0,0,tasknet,floor4,0.25,10,0.5,0.75,0.5,0.38,0.5,0,0.08492009566327059,138,18,25
0,0,0,tasknet,floor4,0.25,10,0.5,0.75,0.5,0.38,0.5,1,0.3666750340559076,131,57,22
0,0,0,filternet,floor4,0.25,10,0.5,0.75,0.5,0.38,0.5,0,0.09133852446706889,138,20,30
0,0,0,filternet,floor4,0.25,10,0.5,0.75,0.5,0.38,0.5,1,0.37765995306540306,131,59,29
0,0,1,filternet,floor4,0.25,10,0.5,0.75,0.5,0.38,0.5,0,0.09034787452376132,138,18,19
0,0,1,filternet,floor4,0.25,10,0.5,0.75,0.5,0.38,0.5,1,0.40094286882736696,131,57,9
0,1,0,filternet,floor4,0.25,10,0.5,0.75,0.5,0.38,0.5,0,0.09290157004830919,138,19,18
0,1,0,filternet,floor4,0.25,10,0.5,0.75,0.5,0.38,0.5,1,0.3921517175572522,131,57,11
0,1,1,filternet,floor4,0.25,10,0.5,0.75,0.5,0.38,0.5,0,0.09290157004830919,138,19,18
0,1,1,filternet,floor4,0.25,10,0.5,0.75,0.5,0.38,0.5,1,0.3921517175572522,131,57,11
1,0,0,filternet,floor4,0.25,10,0.5,0.75,0.5,0.38,0.5,0,0.06852411583869385,138,13,10
1,0,0,filternet,floor4,0.25,10,0.5,0.75,0.5,0.38,0.5,1,0.35118919240207525,131,54,13
1,0,1,filternet,floor4,0.25,10,0.5,0.75,0.5,0.38,0.5,0,0.06852411583869385,138,13,10
1,0,1,filternet,floor4,0.25,10,0.5,0.75,0.5,0.38,0.5,1,0.35118919240207525,131,54,13
1,1,0,filternet,floor4,0.25,10,0.5,0.75,0.5,0.38,0.5,0,0.0676328502415459,138,14,13
1,1,0,filternet,floor4,0.25,10,0.5,0.75,0.5,0.38,0.5,1,0.3553901419640082,131,56,14
1,1,1,filternet,floor4,0.25,10,0.5,0.75,0.5,0.38,0.5,0,0.0676328502415459,138,14,13
